word,neg,neu,pos,compound,sentiment_cat
crude,1.0,0.0,0.0,-0.5719,1
cruel,1.0,0.0,0.0,-0.5859,1
crusading,0.0,1.0,0.0,0.0,3
cryptic,0.0,1.0,0.0,0.0,3
cultivated,0.0,1.0,0.0,0.0,3
cultivating,0.0,1.0,0.0,0.0,3
cultured,0.0,1.0,0.0,0.0,3
cunning,0.0,1.0,0.0,0.0,3
curious,0.0,0.0,1.0,0.3182,4
curmudgeonly,0.0,1.0,0.0,0.0,3
cursed,0.0,1.0,0.0,0.0,3
curt,0.0,1.0,0.0,0.0,3
cute,0.0,0.0,1.0,0.4588,5
cutthroat,0.0,1.0,0.0,0.0,3
cynical,1.0,0.0,0.0,-0.3818,2
daft,0.0,1.0,0.0,0.0,3
dainty,0.0,1.0,0.0,0.0,3
damaging,1.0,0.0,0.0,-0.5106,1
dangerous,1.0,0.0,0.0,-0.4767,1
dapper,0.0,1.0,0.0,0.0,3
daring,0.0,0.0,1.0,0.3612,4
dark,0.0,1.0,0.0,0.0,3
dastardly,0.0,1.0,0.0,0.0,3
dauntless,0.0,0.0,1.0,0.5106,5
dawdling,0.0,1.0,0.0,0.0,3
debonair,0.0,0.0,1.0,0.2023,4
deceitful,1.0,0.0,0.0,-0.4404,1
deceivable,0.0,1.0,0.0,0.0,3
decent,0.0,1.0,0.0,0.0,3
deceptive,0.0,1.0,0.0,0.0,3
decisive,0.0,0.0,1.0,0.2263,4
decorous,0.0,1.0,0.0,0.0,3
dedicated,0.0,0.0,1.0,0.4588,5
deep,0.0,1.0,0.0,0.0,3
defenseless,1.0,0.0,0.0,-0.34,2
defensive,0.0,0.0,1.0,0.0258,4
deferential,0.0,1.0,0.0,0.0,3
defiant,1.0,0.0,0.0,-0.2263,2
definite,0.0,0.0,1.0,0.2732,4
deft,0.0,1.0,0.0,0.0,3
degrading,1.0,0.0,0.0,-0.5859,1
dejected,1.0,0.0,0.0,-0.4939,1
deliberate,0.0,1.0,0.0,0.0,3
deliberative,0.0,1.0,0.0,0.0,3
delicate,0.0,0.0,1.0,0.0516,4
delighted,0.0,0.0,1.0,0.5106,5
delightful,0.0,0.0,1.0,0.5859,5
delinquent,0.0,1.0,0.0,0.0,3
delusional,0.0,1.0,0.0,0.0,3
demanding,1.0,0.0,0.0,-0.2263,2
demeaning,0.0,1.0,0.0,0.0,3
democratic,0.0,1.0,0.0,0.0,3
demonstrative,0.0,1.0,0.0,0.0,3
demure,0.0,1.0,0.0,0.0,3
denigrating,0.0,1.0,0.0,0.0,3
denouncing,0.0,1.0,0.0,0.0,3
dense,0.0,1.0,0.0,0.0,3
dependable,0.0,1.0,0.0,0.0,3
dependent,0.0,1.0,0.0,0.0,3
depraved,0.0,1.0,0.0,0.0,3
depressed,1.0,0.0,0.0,-0.5106,1
depressive,1.0,0.0,0.0,-0.3818,2
derisive,0.0,1.0,0.0,0.0,3
derogatory,0.0,1.0,0.0,0.0,3
designful,0.0,1.0,0.0,0.0,3
desirable,0.0,0.0,1.0,0.3182,4
despairing,1.0,0.0,0.0,-0.5106,1
despondent,1.0,0.0,0.0,-0.4767,1
destructive,1.0,0.0,0.0,-0.6124,1
desultory,0.0,1.0,0.0,0.0,3
detached,1.0,0.0,0.0,-0.128,2
determined,0.0,0.0,1.0,0.34,4
devilish,1.0,0.0,0.0,-0.4767,1
devil-may-care,0.0,1.0,0.0,0.0,3
devious,0.0,1.0,0.0,0.0,3
devoted,0.0,0.0,1.0,0.4019,5
devout,0.0,1.0,0.0,0.0,3
dewy,0.0,1.0,0.0,0.0,3
dictatorial,0.0,1.0,0.0,0.0,3
didactic,0.0,1.0,0.0,0.0,3
difficult,1.0,0.0,0.0,-0.3612,2
diffident,1.0,0.0,0.0,-0.25,2
dignified,0.0,0.0,1.0,0.4939,5
digressive,0.0,1.0,0.0,0.0,3
diligent,0.0,1.0,0.0,0.0,3
dim,0.0,1.0,0.0,0.0,3
diminishing,0.0,1.0,0.0,0.0,3
diplomatic,0.0,1.0,0.0,0.0,3
direct,0.0,1.0,0.0,0.0,3
dirty,1.0,0.0,0.0,-0.4404,1
disabled,0.0,1.0,0.0,0.0,3
disagreeable,1.0,0.0,0.0,-0.4019,1
disappointed,1.0,0.0,0.0,-0.4767,1
disapproving,0.0,1.0,0.0,0.0,3
disarming,0.0,1.0,0.0,0.0,3
discerning,0.0,1.0,0.0,0.0,3
disciplined,0.0,1.0,0.0,0.0,3
disclosing,0.0,1.0,0.0,0.0,3
discontented,1.0,0.0,0.0,-0.4215,1
discourageable,1.0,0.0,0.0,-0.296,2
discouraged,1.0,0.0,0.0,-0.4019,1
discourteous,0.0,1.0,0.0,0.0,3
discreet,0.0,1.0,0.0,0.0,3
discriminating,0.0,1.0,0.0,0.0,3
discriminative,0.0,1.0,0.0,0.0,3
discursive,0.0,1.0,0.0,0.0,3
disdainful,0.0,1.0,0.0,0.0,3
disengaged,0.0,1.0,0.0,0.0,3
disgruntled,0.0,1.0,0.0,0.0,3
