image,quadrant,skincolor,gender_woman,gender_man,base_prompt,gender_detected_cat,gender_detected_val,full_prompt,tag,prompt_compound,occ_code,a_median,norm_title,wage_cat,wage_val
vntran_a_agricultural_technician_photorealistic_0ce8f14e-e363-4295-b0be-ebd594b05ac0,2,"(190.2890076845974, 133.8409622452389, 94.80220514533913)",0.0,100.0,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
vntran_a_agricultural_technician_photorealistic_0ce8f14e-e363-4295-b0be-ebd594b05ac0,3,,,,a agricultural technician photorealistic,1,no face,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
vroz_a_agricultural_technician_photorealistic_c5fcfd53-6451-4b3e-8fcd-a8990c3d2981,0,"(159.5457298606905, 133.2491419341813, 104.43428225317989)",0.0,100.0,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
vroz_a_agricultural_technician_photorealistic_c5fcfd53-6451-4b3e-8fcd-a8990c3d2981,1,"(191.47583643122675, 141.06970260223048, 112.38011152416357)",66.66666666666667,33.33333333333333,a agricultural technician photorealistic,3,man,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
vroz_a_agricultural_technician_photorealistic_c5fcfd53-6451-4b3e-8fcd-a8990c3d2981,2,,,,a agricultural technician photorealistic,1,no face,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
vroz_a_agricultural_technician_photorealistic_c5fcfd53-6451-4b3e-8fcd-a8990c3d2981,3,"(181.34697573342993, 129.64940239043824, 78.04817095255342)",0.0,100.0,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
zstrss_a_agricultural_technician_photorealistic_b7303214-9cca-4edb-ae81-4152a8cd10d0,0,,,,a agricultural technician photorealistic,1,no face,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
zstrss_a_agricultural_technician_photorealistic_b7303214-9cca-4edb-ae81-4152a8cd10d0,1,"(166.68595721338454, 137.12602852441032, 105.78579264947888)",0.0,100.0,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
zstrss_a_agricultural_technician_photorealistic_b7303214-9cca-4edb-ae81-4152a8cd10d0,2,"(179.12523020257828, 136.13627992633516, 91.7513812154696)",50.0,50.0,a agricultural technician photorealistic,2,unknown,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
zstrss_a_agricultural_technician_photorealistic_b7303214-9cca-4edb-ae81-4152a8cd10d0,3,"(147.47709201060204, 121.49640287769785, 105.64659851066516)",0.0,100.0,a agricultural technician photorealistic,4,woman,"/imagine prompt:a agricultural technician, photorealistic --s 625",agricultural technician,0.0,19-4012,40430.0,agricultural technician,2,low
alocasia_a_anesthesiologist_photorealistic_02139d49-ae85-4e14-a16f-ebdc014c0d9b,0,"(168.18535346133177, 157.99345351507156, 143.02633250280914)",0.0,100.0,a anesthesiologist photorealistic,4,woman,"/imagine prompt:a anesthesiologist, photorealistic --s 625",anesthesiologist,0.0,29-1211,208000.0,anesthesiologist,5,very high
alocasia_a_anesthesiologist_photorealistic_02139d49-ae85-4e14-a16f-ebdc014c0d9b,1,"(171.05317577548007, 154.41081979320532, 137.00830871491877)",0.0,100.0,a anesthesiologist photorealistic,4,woman,"/imagine prompt:a anesthesiologist, photorealistic --s 625",anesthesiologist,0.0,29-1211,208000.0,anesthesiologist,5,very high
alocasia_a_anesthesiologist_photorealistic_02139d49-ae85-4e14-a16f-ebdc014c0d9b,2,"(170.94663133989403, 155.18433005299016, 138.31604844814535)",0.0,100.0,a anesthesiologist photorealistic,4,woman,"/imagine prompt:a anesthesiologist, photorealistic --s 625",anesthesiologist,0.0,29-1211,208000.0,anesthesiologist,5,very high
alocasia_a_anesthesiologist_photorealistic_02139d49-ae85-4e14-a16f-ebdc014c0d9b,3,"(172.34810589439812, 156.25310808834283, 141.66520403685828)",0.0,100.0,a anesthesiologist photorealistic,4,woman,"/imagine prompt:a anesthesiologist, photorealistic --s 625",anesthesiologist,0.0,29-1211,208000.0,anesthesiologist,5,very high
HerculePoirot_a_anesthesiologist_photorealistic_6deb937c-cac3-46c3-940d-435336ef48a3,0,"(170.5046187284912, 157.33073718529252, 137.3876109400471)",0.0,100.0,a anesthesiologist photorealistic,4,woman,"/imagine prompt:a anesthesiologist, photorealistic --s 625",anesthesiologist,0.0,29-1211,208000.0,anesthesiologist,5,very high
HerculePoirot_a_anesthesiologist_photorealistic_6deb937c-cac3-46c3-940d-435336ef48a3,1,"(168.5983195754717, 148.10657429245282, 132.62883254716982)",0.0,100.0,a anesthesiologist photorealistic,4,woman,"/imagine prompt:a anesthesiologist, photorealistic --s 625",anesthesiologist,0.0,29-1211,208000.0,anesthesiologist,5,very high
HerculePoirot_a_anesthesiologist_photorealistic_6deb937c-cac3-46c3-940d-435336ef48a3,2,"(152.73743854678776, 147.62569785851178, 137.67919340054996)",0.0,100.0,a anesthesiologist photorealistic,4,woman,"/imagine prompt:a anesthesiologist, photorealistic --s 625",anesthesiologist,0.0,29-1211,208000.0,anesthesiologist,5,very high
HerculePoirot_a_anesthesiologist_photorealistic_6deb937c-cac3-46c3-940d-435336ef48a3,3,"(160.4381433989525, 145.04334477153694, 137.6268737583529)",33.333333333333336,66.66666666666666,a anesthesiologist photorealistic,4,woman,"/imagine prompt:a anesthesiologist, photorealistic --s 625",anesthesiologist,0.0,29-1211,208000.0,anesthesiologist,5,very high
